menge;p_artikel-p_artikelnr;Lagerort;reservierteMenge;Lagerstandort;mengeFuerAuftraege
74;54555056;420;0;10004;0
58;13047362;420;0;10004;0
116;29479420;420;0;10004;0
69;85332362;420;0;10004;0
27;37808543;420;0;10004;0
48;71552218;420;0;10004;0
286;26035116;420;0;10004;0
49;77463545;420;0;10004;0
96;54757759;420;0;10004;0
109;53354759;420;0;10004;0
473;96878930;410;0;10004;0
60;38583060;420;0;10004;0
1;38583060;430;0;10004;0
1;P01-38941618;420;0;10004;0
1;P02-38941618;420;0;10004;0
75;P02-76576117;420;0;10004;0
84;P01-76576117;420;0;10004;0
11;P01-73864423;420;0;10004;0
5;P02-73864423;420;0;10004;0
57;P01-83824320;420;0;10004;0
60;P02-83824320;420;0;10004;0
69;P03-83824320;420;0;10004;0
72;P01-50501118;420;0;10004;0
76;P02-50501118;420;0;10004;0
1;P02-70390412;420;0;10004;0
19;P01-76705132;420;0;10004;0
23;P01-23446459;420;0;10004;0
23;P02-23446459;420;0;10004;0
160;P01-57161464;410;0;10004;0
161;P02-57161464;410;0;10004;0
160;P03-57161464;410;0;10004;0
118;P01-41410410;410;0;10004;0
117;P02-41410410;410;0;10004;0
118;P03-41410410;410;0;10004;0
117;P04-41410410;410;0;10004;0
53;P01-15023335;420;0;10004;0
47;P01-15023335;410;0;10004;0
53;P02-15023335;420;0;10004;0
47;P02-15023335;410;0;10004;0
53;P03-15023335;420;0;10004;0
47;P03-15023335;410;0;10004;0
53;P04-15023335;420;0;10004;0
47;P04-15023335;410;0;10004;0
53;P05-15023335;420;0;10004;0
47;P05-15023335;410;0;10004;0
35;P01-57415529;420;0;10004;0
1;P01-57415529;430;0;10004;0
35;P02-57415529;420;0;10004;0
1;P02-57415529;430;0;10004;0
30;P01-96740704;410;0;10004;0
30;P02-96740704;410;0;10004;0
263;P01-18121647;420;0;10004;0
168;P02-18121647;420;0;10004;0
18;P02-71889243;420;0;10004;0
21;P03-71889243;420;0;10004;0
15;P01-71889243;420;0;10004;0
25;P03-42043651;420;0;10004;0
45;P03-42043651;410;0;10004;0
26;P01-42043651;420;0;10004;0
41;P01-42043651;410;0;10004;0
30;P02-42043651;420;0;10004;0
45;P02-42043651;410;0;10004;0
119;P01-71413321;420;0;10004;0
100;P01-71413321;410;0;10004;0
115;P02-71413321;420;0;10004;0
100;P02-71413321;410;0;10004;0
11;P03-61409931;420;0;10004;0
15;P04-61409931;420;0;10004;0
6;P01-61409931;420;0;10004;0
16;P02-61409931;420;0;10004;0
273;P01-57890963;420;0;10004;0
268;P02-57890963;420;0;10004;0
114;P01-99942533;420;0;10004;0
81;P02-99942533;420;0;10004;0
79;P01-21112660;420;0;10004;0
110;P01-21112660;410;0;10004;0
72;P02-21112660;420;0;10004;0
110;P02-21112660;410;0;10004;0
206;P01-89503908;420;0;10004;0
159;P01-89503908;410;0;10004;0
211;P02-89503908;420;0;10004;0
159;P02-89503908;410;0;10004;0
300;P03-89503908;420;0;10004;0
159;P03-89503908;410;0;10004;0
209;P01-72441903;420;0;10004;0
85;P01-72441903;410;0;10004;0
135;P02-72441903;420;0;10004;0
85;P02-72441903;410;0;10004;0
22;P01-10252159;420;0;10004;0
6;P02-85172847;420;0;10004;0
209;P02-85172847;410;0;10004;0
7;P01-85172847;420;0;10004;0
210;P01-85172847;410;0;10004;0
128;P01-57055629;410;0;10004;0
128;P02-57055629;410;0;10004;0
128;P03-57055629;410;0;10004;0
2;P02-88086024;420;0;10004;0
455;P02-78286252;420;0;10004;0
395;P01-78286252;420;0;10004;0
243;P01-66077712;420;0;10004;0
299;P02-66077712;420;0;10004;0
357;P02-82079110;420;0;10004;0
561;P01-82079110;420;0;10004;0
287;P01-51872703;420;0;10004;0
300;P02-51872703;420;0;10004;0
99;P02-23238022;420;0;10004;0
98;P01-23238022;420;0;10004;0
82;P01-65381824;420;0;10004;0
58;P02-65381824;420;0;10004;0
40;P02-76320954;420;0;10004;0
2;P02-76320954;430;0;10004;0
37;P01-76320954;420;0;10004;0
20;P01-31374019;420;0;10004;0
30;P03-31374019;420;0;10004;0
30;P02-31374019;420;0;10004;0
122;P02-11187167;420;0;10004;0
106;P01-11187167;420;0;10004;0
111;P02-85032669;420;0;10004;0
63;P01-85032669;420;0;10004;0
41;P02-61381566;420;0;10004;0
167;P01-61381566;420;0;10004;0
57;P03-61381566;420;0;10004;0
113;P02-40702749;420;0;10004;0
75;P01-40702749;420;0;10004;0
101;P01-82565707;420;0;10004;0
91;P02-82565707;420;0;10004;0
73;P02-12045010;420;0;10004;0
56;P01-12045010;420;0;10004;0
167;P01-53740462;420;0;10004;0
150;P02-53740462;420;0;10004;0
1;P02-53740462;430;0;10004;0
20;P03-24711660;420;0;10004;0
20;P02-24711660;420;0;10004;0
16;P01-24711660;420;0;10004;0
203;P02-22184369;420;0;10004;0
160;P01-22184369;420;0;10004;0
14;P01-22184369;440;0;10004;0
20;P02-69471813;420;0;10004;0
11;P01-69471813;420;0;10004;0
20;P03-69471813;420;0;10004;0
36;P02-56582452;420;0;10004;0
35;P01-56582452;420;0;10004;0
140;P01-34053261;420;0;10004;0
57;P01-93279442;420;0;10004;0
35;P01-93279442;410;0;10004;0
56;P02-93279442;420;0;10004;0
35;P02-93279442;410;0;10004;0
39;P03-20486617;420;0;10004;0
36;P01-20486617;420;0;10004;0
45;P02-20486617;420;0;10004;0
41;P01-87331454;420;0;10004;0
20;P01-87331454;410;0;10004;0
27;P02-87331454;420;0;10004;0
20;P02-87331454;410;0;10004;0
1;P02-16667529;420;0;10004;0
40;P02-16667529;410;0;10004;0
40;P01-16667529;410;0;10004;0
1;P01-54168438;420;0;10004;0
50;P01-54168438;410;0;10004;0
20;P02-54168438;420;0;10004;0
49;P02-54168438;410;0;10004;0
6;P02-44721917;420;0;10004;0
30;P02-44721917;410;0;10004;0
3;P01-44721917;420;0;10004;0
30;P01-44721917;410;0;10004;0
1;P02-13579526;420;0;10004;0
19;P03-71230809;420;0;10004;0
12;P04-71230809;420;0;10004;0
15;P01-71230809;420;0;10004;0
16;P02-71230809;420;0;10004;0
420;P01-42340233;410;0;10004;0
420;P02-42340233;410;0;10004;0
95;P01-10857950;420;0;10004;0
119;P01-70769527;420;0;10004;0
90;P01-70769527;410;0;10004;0
134;P02-70769527;420;0;10004;0
90;P02-70769527;410;0;10004;0
123;P03-70769527;420;0;10004;0
90;P03-70769527;410;0;10004;0
88;P01-37862345;420;0;10004;0
92;P02-37862345;420;0;10004;0
91;P03-37862345;420;0;10004;0
57;P04-86478308;420;0;10004;0
76;P02-86478308;420;0;10004;0
72;P03-86478308;420;0;10004;0
86;P01-86478308;420;0;10004;0
51;P01-90241032;420;0;10004;0
50;P01-90241032;410;0;10004;0
2;P02-90241032;420;0;10004;0
50;P02-90241032;410;0;10004;0
101;P03-90241032;420;0;10004;0
50;P03-90241032;410;0;10004;0
25;P01-44739546;420;0;10004;0
46;P02-44739546;420;0;10004;0
8;P03-44739546;420;0;10004;0
253;P02-19383310;420;0;10004;0
200;P02-19383310;410;0;10004;0
246;P01-19383310;420;0;10004;0
199;P01-19383310;410;0;10004;0
104;P02-68258950;420;0;10004;0
144;P01-85670424;420;0;10004;0
153;P02-85670424;420;0;10004;0
66;P03-61631422;420;0;10004;0
60;P04-61631422;420;0;10004;0
60;P01-61631422;420;0;10004;0
58;P02-61631422;420;0;10004;0
16;P04-63115003;420;0;10004;0
47;P01-23750544;420;0;10004;0
54;P02-23750544;420;0;10004;0
119;P01-37783655;420;0;10004;0
60;P01-37783655;410;0;10004;0
57;P02-37783655;420;0;10004;0
59;P02-37783655;410;0;10004;0
35;P01-24430023;420;0;10004;0
47;P02-24430023;420;0;10004;0
86;P01-45701516;420;0;10004;0
76;P02-45701516;420;0;10004;0
54;P01-81111467;420;0;10004;0
60;P02-81111467;420;0;10004;0
60;P03-81111467;420;0;10004;0
63;P01-83962851;420;0;10004;0
52;P02-83962851;420;0;10004;0
